title_clean,job_count,companies,salary_min,salary_max,skills,company_count,skill_count
AI & Data Science Consultant/Engineer,1,['ABEAM CONSULTING (SINGAPORE) PTE. LTD.'],8000,12000,"['Machine Learning', 'Business Data Analysis', 'Retrieval-Augmented Generation (RAG)', 'Generative AI Application Development and Deployment', 'AI Agents', 'Data Modelling', 'End to End Solution Development', 'Processing queries', 'Automation Studio', 'Computer Science', 'Application Frameworks', 'AI Safety', 'Generative AI', 'Data Science', 'Web Technology', 'Data Analysis Tools']",1,16
AI Engineer,1,['RMA PROJECTS PTE. LTD.'],4000,6000,"['Supply Chain Analytics', 'Communication', 'Oracle', 'NumPy', 'Data Pipeline', 'Artificial Intelligence', 'Research, recruitment', 'Decision Support', 'Computer Science', 'AI Models', 'Demand Planning', 'Logistics Planning', 'Supply Chain Management', 'Data Science', 'Operations & Supply Chain', 'Data Visualisation']",1,16
"Actuarial Data, Automation And AI",1,['PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED'],5500,8500,"['Analytics Support', 'Preparing the test cases', 'Data Analysis', 'Data Structures', 'Actuarial Support', 'Data Domain', 'Actuarial Consulting', 'Python', 'Power BI', 'Reporting & Analysis']",1,10
Analyst,1,['SCIENTE INTERNATIONAL PTE. LTD.'],5000,8000,"['Analytics Support', 'Validation', 'UAT', 'Database Analysis', 'Microsoft Excel', 'Data Analysis', 'Analytical Skills', 'Quality Assurance', 'Ensuring Data Accuracy', 'Anti Money Laundering', 'coordinate with other business departments', 'SQL', 'Anomaly Detection', 'Analytics Tools', 'Project Delivery Processes', 'Data Extraction', 'Uat Testing', 'Fix the Defects', 'Standard Procedures', 'Financial Services']",1,20
"Analyst, Operation",1,['SG ALLIANCE PTE. LTD.'],3600,4500,"['Data Handling', 'Quality Control', 'Regulatory Compliance', 'Process Improvement', 'Ensuring Data Accuracy', 'Data Management', 'Data Governance', 'Internal Controls', 'Analytical and Problem-Solving Skills', 'Financial Services']",1,10
Analyst/Principal Analyst @ Pasir Panjang,1,['BUSINESS EDGE PERSONNEL SERVICES PTE LTD'],4500,7500,"['Creative Problem Solving', 'Machine Learning', 'Analytics Support', 'Cloud Technologies', 'SAS', 'Scala', 'R Programming', 'Big Data Framework', 'scientific discipline', 'Big Data Analytics', 'Interact With Business Users', 'Data Analytics System Design', 'Data Governance', 'Data Engineering', 'Data Mining', 'Project Management', 'Python', 'Engineering', 'Cloud Computing Integration', 'Java']",1,20
Assistant Manager,1,['SCIENTE INTERNATIONAL PTE. LTD.'],7000,9000,"['Machine Learning', 'Ai', 'Technology Risk Management', 'Technical Writing', 'Blockchain', 'Investigation', 'Artificial Intelligence', 'Root Cause Analysis', 'Quantum Computing', 'Infocomm Security and Data Privacy', 'Generative AI Data Governance', 'Pets', 'Data Governance', 'privacy guidelines', 'Cybersecurity', 'Generative AI', 'Data Privacy', 'Security Design', 'Data security platforms', 'Research']",1,20
"Assistant Manager , Data & Digital Office",1,"[""KK WOMEN'S AND CHILDREN'S HOSPITAL PTE. LTD.""]",4500,5500,"['TensorFlow', 'Healthcare Industry', 'R Programming', 'Critical Thinking', 'ETL', 'Keras', 'Data Mining', 'PyTorch', 'SQL', 'Python']",1,10
"Associate Director, Business Data Office, Client Onboarding Solutions",1,['MUFG FUND SERVICES (SINGAPORE) PTE. LTD.'],10000,15000,"['Onboarding', 'ACCA', 'Task Completion', 'Problem Solving', 'Fund Administration', 'Auditor', 'Investment Management', 'Data Migration', 'Accounting', 'Attention to Detail', 'People Management', 'Data Administration']",1,12
"Asus AIcs -Engineering Manger, AI Data Platforms & Multi-Agent Systems",1,['ASUS GLOBAL PTE. LTD.'],10000,18000,"['Generative Model', 'Machine Learning', 'Jenkins', 'Pipelines', 'Architect', 'Healthcare', 'Data Integration', 'Computer Science', 'Docker', 'API']",1,10
Attractive Job Opening For Senior Business Analyst/ Telco Data Modeler In Singapore,1,['TALENT XPERTS PTE. LTD.'],9000,12000,"['Management Consulting', 'Conceptual Design', 'Uat Support', 'Logic', 'Problem Analysis', 'Telecommunication Industry', 'User Stories', 'ETL', 'Predictive Analytics', 'Data Lineage', 'Technical Skillset', 'Oss/BSS', 'Revolution', 'Power BI', 'collaborative business partnering', 'Stakeholder Meetings']",1,16
